Package,Name,Version,Architecture
ch.xxtou.hudapp.jb,TrollSpeed JB,1.12.1,iphoneos-arm64e
codes.aurora.kayoko,Kayoko,2.8,iphoneos-arm64e
com.82flex.iconrestore,Icon Restore,1.7,iphoneos-arm64e
com.82flex.libsandyxpc,libSandyXpc,1.0,iphoneos-arm64e
com.82flex.noredirect,No Redirect,1.10,iphoneos-arm64e
com.82flex.removewidgetbg,Remove Widget Background,1.7,iphoneos-arm64e
com.82flex.singlemute,Single Mute,1.5,iphoneos-arm64e
com.82flex.singlevpn,Single VPN,1.5,iphoneos-arm64e
com.82flex.socpwrbud,SoC Power Buddy,1.0,iphoneos-arm64e
com.82flex.touchvis,Touch-Viz,3.12,iphoneos-arm64e
com.82flex.wtvrbglauncher,语音转文字免跳转,1.1,iphoneos-arm64e
com.byteage.xcoderootdebug,XcodeRootDebug,0.0.2,iphoneos-arm64e
com.ethanarbuckle.objsee-framework,objsee,0.0.2,iphoneos-arm64e
com.rpetrich.rocketbootstrap,RocketBootstrap,1.0.10~beta5,iphoneos-arm64
dev.traurige.kayoko,Kayoko,1.2-3,iphoneos-arm
system-cmds-memory-pressure,memory_pressure,880.120.1,iphoneos-arm64e
wiki.qaq.colorfulwallpaperx,Colorful Wallpaper X,4.9,iphoneos-arm64e
wiki.qaq.trapp.jb,TrollRecorder JB,3.3-613,iphoneos-arm64e
wiki.qaq.writenow,Write Now,2.1,iphoneos-arm64e
