Package,Name,Version,Architecture
cn.swing.trip,TripNoSplash,1.0.0,iphoneos-arm64
com.abox.puredouban,豆瓣净化,1.1.2,iphoneos-arm64
com.bandarhl.bhtiktok,BHTikTok Plus,2.3,iphoneos-arm64
com.dvntm.infuseplus,Infuse Plus,1.2.0,iphoneos-arm64
com.dvntm.ytlite,YTLite,4.0.1,iphoneos-arm64
com.ginsu.ytmusicultimate,YTMusicUltimate,2.1,iphoneos-arm64
com.swing.appstorenoads,AppStoreNoAds,0.0.1,iphoneos-arm64
com.swing.aweme,Amazing Aweme,1.0.8,iphoneos-arm64
com.swing.bilibili,哔哩哔哩NoAds,1.1.4-1,iphoneos-arm64
com.swing.bililite,哔哩哔哩国际版NoAds,1.0.0,iphoneos-arm64
com.swing.bl4knoads,BL4KNoAds,0.0.1,iphoneos-arm64
com.swing.ddmcnoads,叮咚买菜去启动广告,1.0.0,iphoneos-arm64
com.swing.dpnoads,百度网盘NoAds,1.1.0,iphoneos-arm64
com.swing.eleme,饿了么去广告,1.0.5,iphoneos-arm64
com.swing.fixlogintiktok,FixLoginTikTok,0.0.1,iphoneos-arm64
com.swing.fleamarket,FleaMarket,0.0.1,iphoneos-arm64
com.swing.gamesky,游民星空NoAds-Rootless,1.0.0,iphoneos-arm64
com.swing.github,GitHub,1.0.1,iphoneos-arm64
com.swing.jeevesaiplus,JeevesAiPlus,0.0.1,iphoneos-arm64
com.swing.jump,Jump去广告,1.0.0,iphoneos-arm64
com.swing.mihome,米家NoAds,1.0.0,iphoneos-arm64
com.swing.neteasemusic,网易云音乐,0.0.1,iphoneos-arm64
com.swing.nicegram,Nicegram Premium,1.0.0-1,iphoneos-arm64
com.swing.padswitcher,PadSwitcher - iPad多任务,1.1.0,iphoneos-arm64
com.swing.puretieba,百度贴吧去广告,1.0.5,iphoneos-arm64
com.swing.purexhs,小红书净化,1.0.1,iphoneos-arm64
com.swing.purexmly,喜马拉雅,1.0.2,iphoneos-arm64
com.swing.qqmail,QQ邮箱去广告,1.0.1,iphoneos-arm64
com.swing.qqmusic,QQMusicFree,1.0.0,iphoneos-arm64
com.swing.readdleapp,Unlock ReaddleApp,1.0.1,iphoneos-arm64
com.swing.revenuecat,Revenuecat,0.0.1,iphoneos-arm64
com.swing.termius,Termius Pro,1.0.0,iphoneos-arm64
com.swing.thundervpn,ThunderVPN,1.0.0,iphoneos-arm64
com.swing.tiktoknocreatbutton,TikTokNoCreatButton,1.0.0,iphoneos-arm64
com.swing.vipcrack,VIPCrack,1.0.8,iphoneos-arm64
com.swing.wechat.noads,微信去广告,1.1.8-5,iphoneos-arm64
com.swing.weibo,微博去广告,1.2.3,iphoneos-arm64
com.swing.weibolite,微博轻享版去广告,1.0.3,iphoneos-arm64
com.swing.xscreck,解锁番茄畅听&番茄小说VIP,1.0.3,iphoneos-arm64
com.swing.zhihu,知乎去广告,1.1.3-3,iphoneos-arm64
co.swing.chick,小鸡模拟器,1.0.0,iphoneos-arm64
