Package,Name,Version,Architecture
2048,2048,1.0.1,iphoneos-arm
adv-cmds,adv-cmds,216.100.1,iphoneos-arm
aircrack-ng,aircrack-ng,1.7,iphoneos-arm
amy-keyring,amy-keyring,2025.08.10,all
aom-tools,aom-tools,3.3.0,iphoneos-arm
appuninst,appuninst,1.0.0,iphoneos-arm
apt,apt,2.9.4-1,iphoneos-arm
apt-file,apt-file,3.3,all
aptitude,aptitude,0.8.13,iphoneos-arm
aptitude-locale,aptitude-locale,0.8.13,iphoneos-arm
apt-rdepends,apt-rdepends,1.3.0,iphoneos-arm
apt-utils,apt-utils,2.9.4-1,iphoneos-arm
argon2,argon2,0~20190702,iphoneos-arm
aria2,aria2,1.36.0,iphoneos-arm
arpoison,arpoison,0.7,iphoneos-arm
asciidoc,asciidoc,9.1.0,all
asciidoctor,asciidoctor,2.0.17,iphoneos-arm
asciidoctor-doc,asciidoctor-doc,2.0.17,iphoneos-arm
attach,attach,0.0.2,iphoneos-arm
autoconf,autoconf,2.71,iphoneos-arm
autoconf-archive,autoconf-archive,2021.02.19,iphoneos-arm
automake,automake,1.16.5,iphoneos-arm
autopoint,autopoint,0.22,iphoneos-arm
autossh,autossh,1.4g,iphoneos-arm
axel,axel,2.17.11,iphoneos-arm
base,base,2,iphoneos-arm
bash,bash,5.2.21,iphoneos-arm
bash-completion,bash-completion,2.11,all
basic-cmds,basic-cmds,67.100.1,iphoneos-arm
bastet,Bastard Tetris,0.43.2,iphoneos-arm
bat,bat,0.21.0-1,iphoneos-arm
bender,bender,1.1.1,iphoneos-arm
binwalk,binwalk,2.3.3,all
bison,bison,3.8.2,iphoneos-arm
bison-locale,bison-locale,3.7.6,iphoneos-arm
bolt-16,bolt-16,16.0.0~5.9.2~RELEASE,iphoneos-arm
bootstrap-cmds,bootstrap-cmds,133,iphoneos-arm
bottom,bottom,1.2.0-1,iphoneos-arm
bpytop,bpytop,1.0.67,iphoneos-arm
brotli,brotli,1.1.0,iphoneos-arm
bsdiff,bsdiff,4.3,iphoneos-arm
bsd-progress,bsd-progress,9.99.81,iphoneos-arm
build-essential,build-essential,16.1,all
byacc,byacc,20220114,iphoneos-arm
byacc2,byacc2,20220114,iphoneos-arm
bzip2,bzip2,1.0.8,iphoneos-arm
caca-utils,caca-utils,0.99.beta19,iphoneos-arm
ca-certificates,ca-certificates,20240607,all
calc,calc,2.13.0.1,iphoneos-arm
calc-dev,calc-dev,2.13.0.1,iphoneos-arm
cameronkatri-keyring,Cameron Katri's APT Keyring,2020.11.21,all
capstone-tool,capstone-tool,5.0~git20230223.6e6e602,iphoneos-arm
cargo,cargo,1.44.1+nightly,iphoneos-arm
ccache,ccache,4.7.4,iphoneos-arm
chariz-keyring,Chariz APT Keyring,2021.07.18,all
chezmoi,chezmoi,2.12.1,iphoneos-arm
chntpw,chntpw,1.0,iphoneos-arm
